Nacional;Comunidades y Ciudades Aut�nomas;Sexo;Periodo;Total
Total;COMUNIDAD VALENCIANA;Total;2021;5.058.138
Total;COMUNIDAD VALENCIANA;Total;2020;5.057.353
Total;COMUNIDAD VALENCIANA;Total;2019;5.003.769
Total;COMUNIDAD VALENCIANA;Total;2018;4.963.703
Total;COMUNIDAD VALENCIANA;Total;2017;4.941.509
Total;COMUNIDAD VALENCIANA;Total;2016;4.959.968
Total;COMUNIDAD VALENCIANA;Total;2015;4.980.689
Total;COMUNIDAD VALENCIANA;Total;2014;5.004.844
Total;COMUNIDAD VALENCIANA;Total;2013;5.113.815
Total;COMUNIDAD VALENCIANA;Total;2012;5.129.266
Total;COMUNIDAD VALENCIANA;Total;2011;5.117.190
Total;COMUNIDAD VALENCIANA;Total;2010;5.111.706
Total;COMUNIDAD VALENCIANA;Total;2009;5.094.675
Total;COMUNIDAD VALENCIANA;Total;2008;5.029.601
Total;COMUNIDAD VALENCIANA;Total;2007;4.885.029
Total;COMUNIDAD VALENCIANA;Total;2006;4.806.908
Total;COMUNIDAD VALENCIANA;Total;2005;4.692.449
Total;COMUNIDAD VALENCIANA;Total;2004;4.543.304
Total;COMUNIDAD VALENCIANA;Total;2003;4.470.885
Total;COMUNIDAD VALENCIANA;Total;2002;4.326.708
Total;COMUNIDAD VALENCIANA;Total;2001;4.202.608
Total;COMUNIDAD VALENCIANA;Total;2000;4.120.729
Total;COMUNIDAD VALENCIANA;Total;1999;4.066.474
Total;COMUNIDAD VALENCIANA;Total;1998;4.023.441
Total;EXTREMADURA;Total;2021;1.059.501
Total;EXTREMADURA;Total;2020;1.063.987
Total;EXTREMADURA;Total;2019;1.067.710
Total;EXTREMADURA;Total;2018;1.072.863
Total;EXTREMADURA;Total;2017;1.079.920
Total;EXTREMADURA;Total;2016;1.087.778
Total;EXTREMADURA;Total;2015;1.092.997
Total;EXTREMADURA;Total;2014;1.099.632
Total;EXTREMADURA;Total;2013;1.104.004
Total;EXTREMADURA;Total;2012;1.108.130
Total;EXTREMADURA;Total;2011;1.109.367
Total;EXTREMADURA;Total;2010;1.107.220
Total;EXTREMADURA;Total;2009;1.102.410
Total;EXTREMADURA;Total;2008;1.097.744
Total;EXTREMADURA;Total;2007;1.089.990
Total;EXTREMADURA;Total;2006;1.086.373
Total;EXTREMADURA;Total;2005;1.083.879
Total;EXTREMADURA;Total;2004;1.075.286
Total;EXTREMADURA;Total;2003;1.073.904
Total;EXTREMADURA;Total;2002;1.073.050
Total;EXTREMADURA;Total;2001;1.073.381
Total;EXTREMADURA;Total;2000;1.069.420
Total;EXTREMADURA;Total;1999;1.073.574
Total;EXTREMADURA;Total;1998;1.069.419
Total;GALICIA;Total;2021;2.695.645
Total;GALICIA;Total;2020;2.701.819
Total;GALICIA;Total;2019;2.699.499
Total;GALICIA;Total;2018;2.701.743
Total;GALICIA;Total;2017;2.708.339
Total;GALICIA;Total;2016;2.718.525
Total;GALICIA;Total;2015;2.732.347
Total;GALICIA;Total;2014;2.748.695
Total;GALICIA;Total;2013;2.765.940
Total;GALICIA;Total;2012;2.781.498
Total;GALICIA;Total;2011;2.795.422
Total;GALICIA;Total;2010;2.797.653
Total;GALICIA;Total;2009;2.796.089
Total;GALICIA;Total;2008;2.784.169
Total;GALICIA;Total;2007;2.772.533
Total;GALICIA;Total;2006;2.767.524
Total;GALICIA;Total;2005;2.762.198
Total;GALICIA;Total;2004;2.750.985
Total;GALICIA;Total;2003;2.751.094
Total;GALICIA;Total;2002;2.737.370
Total;GALICIA;Total;2001;2.732.926
Total;GALICIA;Total;2000;2.731.900
Total;GALICIA;Total;1999;2.730.337
Total;GALICIA;Total;1998;2.724.544
Total;MADRID;Total;2021;6.751.251
Total;MADRID;Total;2020;6.779.888
Total;MADRID;Total;2019;6.663.394
Total;MADRID;Total;2018;6.578.079
Total;MADRID;Total;2017;6.507.184
Total;MADRID;Total;2016;6.466.996
Total;MADRID;Total;2015;6.436.996
Total;MADRID;Total;2014;6.454.440
Total;MADRID;Total;2013;6.495.551
Total;MADRID;Total;2012;6.498.560
Total;MADRID;Total;2011;6.489.680
Total;MADRID;Total;2010;6.458.684
Total;MADRID;Total;2009;6.386.932
Total;MADRID;Total;2008;6.271.638
Total;MADRID;Total;2007;6.081.689
Total;MADRID;Total;2006;6.008.183
Total;MADRID;Total;2005;5.964.143
Total;MADRID;Total;2004;5.804.829
Total;MADRID;Total;2003;5.718.942
Total;MADRID;Total;2002;5.527.152
Total;MADRID;Total;2001;5.372.433
Total;MADRID;Total;2000;5.205.408
Total;MADRID;Total;1999;5.145.325
Total;MADRID;Total;1998;5.091.336
Total;REGION DE MURCIA;Total;2021;1.518.486
Total;REGION DE MURCIA;Total;2020;1.511.251
Total;REGION DE MURCIA;Total;2019;1.493.898
Total;REGION DE MURCIA;Total;2018;1.478.509
Total;REGION DE MURCIA;Total;2017;1.470.273
Total;REGION DE MURCIA;Total;2016;1.464.847
Total;REGION DE MURCIA;Total;2015;1.467.288
Total;REGION DE MURCIA;Total;2014;1.466.818
Total;REGION DE MURCIA;Total;2013;1.472.049
Total;REGION DE MURCIA;Total;2012;1.474.449
Total;REGION DE MURCIA;Total;2011;1.470.069
Total;REGION DE MURCIA;Total;2010;1.461.979
Total;REGION DE MURCIA;Total;2009;1.446.520
Total;REGION DE MURCIA;Total;2008;1.426.109
Total;REGION DE MURCIA;Total;2007;1.392.117
Total;REGION DE MURCIA;Total;2006;1.370.306
Total;REGION DE MURCIA;Total;2005;1.335.792
Total;REGION DE MURCIA;Total;2004;1.294.694
Total;REGION DE MURCIA;Total;2003;1.269.230
Total;REGION DE MURCIA;Total;2002;1.226.993
Total;REGION DE MURCIA;Total;2001;1.190.378
Total;REGION DE MURCIA;Total;2000;1.149.328
Total;REGION DE MURCIA;Total;1999;1.131.128
